fneg,float,75
fadd,float,77
fsub,float,78
fmul,float,77
fdiv,float,77
fcmp,float,62
fpext_float_to_double,float,78
fmuladd,float,78
sin,float,421
cos,float,418
tan,float,877
exp,float,458
log,float,300
sqrt,float,124
expm1,float,499
log1p,float,478
cbrt,float,2777
pow,float,545
fabs,float,76
fma,float,75
maxnum,float,75
minnum,float,76
ceil,float,77
floor,float,75
exp2,float,458
log10,float,493
log2,float,301
rint,float,298
round,float,304
trunc,float,76
copysign,float,76
fdim,float,300
fmod,float,298
asin,float,331
acos,float,296
atan,float,780
atan2,float,2730
sinh,float,481
cosh,float,328
tanh,float,344
asinh,float,341
acosh,float,340
atanh,float,377
hypot,float,1938
erf,float,327
lgamma,float,1678
tgamma,float,3468
remainder,float,3026
powi,float,83
fneg,double,82
fadd,double,83
fsub,double,83
fmul,double,82
fdiv,double,127
fcmp,double,65
fptrunc_double_to_float,double,83
fmuladd,double,83
sin,double,3715
cos,double,3769
tan,double,4499
exp,double,748
log,double,350
sqrt,double,236
expm1,double,327
log1p,double,460
cbrt,double,1047
pow,double,1102
fabs,double,83
fma,double,83
maxnum,double,83
minnum,double,83
ceil,double,83
floor,double,83
exp2,double,442
log10,double,604
log2,double,327
rint,double,326
round,double,328
trunc,double,83
copysign,double,83
fdim,double,329
fmod,double,328
asin,double,576
acos,double,566
atan,double,822
atan2,double,1178
sinh,double,627
cosh,double,546
tanh,double,327
asinh,double,493
acosh,double,385
atanh,double,330
hypot,double,526
erf,double,327
lgamma,double,1981
tgamma,double,2017
remainder,double,1064
powi,double,82
